kepid	koi_period	koi_prad	koi_quarters
1432214	161.788327120	36.14	01111111111111111000000000000000
2165002	16.568068420	2.54	11111111111111111000000000000000
2165002	47.332929900	2.18	11111111111111111000000000000000
2441728	0.856895349	0.82	11111111111111111000000000000000
1871056	40.806533300	3.71	11111111111111111000000000000000
8222813	2.466970390	1.56	00011111111111111000000000000000
12105051	2.624234833	5.11	11111111111111111000000000000000
8240904	6.618363090	2.98	00011111111111111000000000000000
8240904	107.721409200	4.75	00011111111111111000000000000000
8240904	92.777790000	1.92	
8374494	5.251916208	37.15	00011111111111111000000000000000
5735762	9.673958488	2.63	11111111111111111000000000000000
8414907	100.303922800	29.55	01111111111111111000000000000000
8414907	200.611033460		01111111111111111000000000000000
8397446	0.986620248	43.98	00001000111111111000000000000000
8386035	1.634846310		11111111111111111000000000000000
3962243	14.128476770	2.73	11111011101110111000000000000000
3962243	48.647854300	4.14	11111011101110111000000000000000
3438507	8.398429770	2.00	11111111111111111000000000000000
3869014	8.638473910	5.99	11111011101110111000000000000000
3756801	422.917678000	5.89	
1871056	140.107650000	3.42	11111111111111111000000000000000
1865042	3.481591700	1.17	11111111111111111000000000000000
2438502	8.360616221	40.35	01111111111111111000000000000000
2309585	1.838514968	4.86	00011111111111111000000000000000
5780460	35.617602330	5.17	01111111111111111000000000000000
8244190	1.092068330	1.29	11111111111111111000000000000000
8229696	10.128051580	1.95	11111111111111111000000000000000
8262210	1.613001111	1.25	01111111111111111000000000000000
10272640	3.770551475	12.05	00011111111111111000000000000000
10232123	1.343767797	18.66	11111101110111011000000000000000
10223616	29.124364740	15.25	11111101110111011000000000000000
8415745	31.828145830	35.80	00011111111111111000000000000000
8378634	3.629442796	3.28	11111111111111111000000000000000
8397675	0.553261874	97.36	11111111111111111000000000000000
8346392	5.728126160	1.38	11111111111111111000000000000000
8288947	3.755742670	1.58	11111111111111111000000000000000
8312852	7.440429330	2.74	11111111111111111000000000000000
9480189	6.581477136	4.56	11111101110111011000000000000000
11974540	24.669192732	77.76	11111111111111111000000000000000
9480189	2.382652873	2.74	11111101110111011000000000000000
9480189	24.664614160	5.34	11111101110111011000000000000000
9512687	11.515171670	2.90	11111111111111111000000000000000
8644288	7.641567589	4.91	11111111111111111000000000000000
5738346	30.611393200	19.68	00011111111111111000000000000000
1725016	7.407425020	2.01	00011111111111111000000000000000
1722276	569.934135000	38.98	11111111111111111000000000000000
892772	5.092465390	1.17	00011111111111111000000000000000
1027438	110.615766220		
10268907	1.103971357	1.37	00011111111111111000000000000000
5446285	10.916108342	3.93	
10166274	3.353732008	1.65	11111101110111011000000000000000
10166274	6.877446033	2.05	11111101110111011000000000000000
10166274	28.464648040	1.87	11111101110111011000000000000000
10153827	0.293630085	26.35	
5735762	42.896450240	2.00	11111111111111111000000000000000
8302450	2.441998030	1.44	11111111111111111000000000000000
8313667	30.587215300	2.32	11111111111111111000000000000000
8351704	7.097121240	0.74	11111111111111111000000000000000
8299955	2.682768300	1.19	11111111111111111000000000000000
9513865	3.601465336	2.31	11111111111111111000000000000000
9595686	3.108251172	4.43	11111111111111111000000000000000
9605514	25.847495800	2.40	11111101110111011000000000000000
